,age,exercise,competitive,height,weight,gender,injury,sleep,race_1,race_4,race_5,race_6,race_8,race_9
0,0.0,1.0,0.5,0.625,0.36974789916,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
1,0.0,1.0,0.5,0.0191666666667,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
2,0.166666666667,0.25,1.0,0.383333333333,0.344537815126,0.0,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0
3,0.0,0.25,0.5,0.416666666667,0.252100840336,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
4,0.0833333333333,0.5,1.0,0.479166666667,0.574117647059,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
5,0.0,1.0,0.0,0.0,0.481512605042,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
6,0.0833333333333,0.0,0.0,0.67585,0.705882352941,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,0.666666666667,0.5,0.5,0.741666666667,0.756302521008,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
8,0.166666666667,1.0,0.0,0.283333333333,0.210084033613,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0.0833333333333,0.75,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
10,0.0,1.0,0.0,0.0416666666667,0.0924369747899,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0.166666666667,0.25,0.0,1.0,0.663865546218,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0.166666666667,0.25,0.5,0.75,0.453781512605,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.25,0.0,0.333333333333,0.285714285714,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0
14,0.0833333333333,0.75,0.5,0.166666666667,0.148067226891,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
15,0.25,0.75,0.0,0.5,0.327731092437,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
16,0.416666666667,0.25,0.0,0.75,0.487394957983,1.0,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0
17,0.0,0.25,1.0,0.833333333333,0.647058823529,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.333333333333,0.243697478992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,0.0833333333333,1.0,0.5,0.416666666667,0.201680672269,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,0.25,1.0,1.0,0.416666666667,0.218487394958,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
21,0.166666666667,0.5,0.5,0.75,0.478991596639,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
22,0.166666666667,0.25,0.0,0.733333333333,0.512605042017,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
23,0.166666666667,0.25,0.5,0.9,0.873949579832,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,0.0833333333333,0.25,0.5,0.316666666667,0.31512605042,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
25,0.0833333333333,0.5,0.5,0.0833333333333,0.168067226891,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
